#PKG,RTYPE,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
PAC,O,adobe-source-han-sans-cn-fonts, "Chinese Font [Font]"
PAC,O,anki, "Flashcard"
PAC,O,blueman, "GTK+ Bluetooth Manager"
PAC,O,cronie," [services] runs specified program at scheduled times."
PAC,O,cronie-runit, "Additional packages for Artix Runit"
PAC,O,emacs, "is a extensible editor "
PAC,O,file-roller, "[gnome]  Create and modify archives <GUI>"
PAC,O,graphviz, "is a Graph visualization Application (req:doom-emacs)"
PAC,O,lightdm, "is Lightweight Login Manager"
PAC,O,lightdm-gtk-greeter, "is GTK theme/greeter for Lightdm"
PAC,O,lightdm-runit, "is extra packages for ligtdm using runit"
PAC,O,lxappearance, "is Setting Color Manager for GUI Application"
PAC,O,mpc,"is a terminal interface for mpd. [Media]"
PAC,O,mpd,"is a lightweight music daemon. [Media]"
PAC,O,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor. [Media]"
PAC,O,network-manager-applet, "Applet for Network Connections [Network]"
PAC,O,networkmanager-openvpn, "is a NetworkManager Plugin for openVPN [Network]"
PAC,O,ntfs-3g,"allows accessing NTFS partitions."
PAC,O,p7zip,"another unzip whynot?"
PAC,O,pacman-contrib, "Pacman contrib...pactree...etc"
PAC,O,screenkey, "is screencast tools to display keys"
PAC,O,sysstat, "is Collection of monitoring tools"
PAC,O,texlive-core, "LaTEX"
PAC,O,tlp, "is Power Management TOols for linux"
PAC,O,translate-shell, "CLI Translator (Google.Binge.etc)"
PAC,O,vieb-bin,"is Electron Vim Like Browser"
PAC,O,zathura-cb,"allows comic books compatibility in zathura."
PAC,O,zathura-djvu,"allows DjVu compatibility in zathura."
PAC,O,zathura-ps,"allows PostScripts compatibility in zathura."
PAC,O,zenity,"Local files for spotify"
PAC,X,amd-ucode, "amd cpu"
PAC,X,dnsutils, "is a collection of common network programs"
PAC,X,inetutils, "is a collection of common network programs"
PAC,X,intel-ucode, "intel cpu"
PAC,X,kodi-x11, "Rich Multimedia Library Player"
PAC,X,net-tools, "networking tools"
PAC,Z,broadcom-wl, "Broadcam wireless"
PAC,Z,broadcom-wl-dkms, "Broadcam wireless"
PAC,Z,rambox-bin, "[app] All-in-One Messaging"
PAC,Z,xf86-video-amdgpu, "for amdgpu"
PAC,Z,xf86-video-ati, "for ati gpu "
PAC,Z,xf86-video-intel, "for intel gpu"
PAC,Z,xf86-video-qxl, "for vm video"
PAC,atool,"manages and gives information about archives."
PAC,bc,"is used for a dropdown calculator."
PIP,FM,cambrinary, " CLI Cambridge Dictionary"
PIP,FM,lookatme, "is CLI Markdown Presentation"
PKG,FMB,lf,"is an extensive terminal file manager."
PKG,FMB,zsh,"Zsh shell"
